epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,5376.3,0.55346,0.88297,2.08897,1.01064,0,0.83201,0.83078,0.87215,0.72218,0.83191,0.82896,0.86873,0.70681,0.47609,0.69873,1.53487,0.98178,0,0.000167125,0.000167125,0.000167125
39,5521.08,0.56219,0.89375,2.08238,1.01303,0,0.83892,0.83744,0.87645,0.72171,0.83752,0.83605,0.87435,0.70979,0.47396,0.69291,1.50873,0.98046,0,0.00015475,0.00015475,0.00015475
40,5661.3,0.54951,0.85881,2.04452,1.0101,0,0.93383,0.83346,0.87376,0.72382,0.93729,0.83556,0.87644,0.71114,0.47584,0.69251,1.49242,0.98343,0,0.000142375,0.000142375,0.000142375
41,5794.57,0.56378,0.8512,1.89315,1.04907,0,0.92277,0.83311,0.87862,0.72921,0.94239,0.8176,0.87668,0.71164,0.48157,0.69643,1.52317,0.9837,0,0.00013,0.00013,0.00013
42,5921.79,0.57028,0.84305,1.88241,1.05294,0,0.94552,0.83606,0.88384,0.73354,0.92736,0.84768,0.87933,0.71752,0.48055,0.69963,1.50375,0.98494,0,0.000117625,0.000117625,0.000117625
43,6047.05,0.56361,0.84379,1.82936,1.041,0,0.85754,0.84882,0.88515,0.73924,0.85709,0.84328,0.88131,0.71864,0.46661,0.68717,1.45438,0.97457,0,0.00010525,0.00010525,0.00010525
44,6173.99,0.55211,0.8286,1.78669,1.04544,0,0.87049,0.82838,0.88699,0.74043,0.87013,0.82655,0.88449,0.72359,0.46083,0.67864,1.42722,0.97097,0,9.2875e-05,9.2875e-05,9.2875e-05
45,6299.6,0.54799,0.81572,1.76328,1.02708,0,0.85671,0.8478,0.88749,0.74939,0.85782,0.84843,0.88622,0.72448,0.45993,0.66778,1.42854,0.9709,0,8.05e-05,8.05e-05,8.05e-05
46,6425.64,0.54586,0.81561,1.75842,1.04006,0,0.86689,0.8398,0.88525,0.73775,0.8684,0.84034,0.88669,0.72767,0.45835,0.66484,1.42191,0.9693,0,6.8125e-05,6.8125e-05,6.8125e-05
47,6551.13,0.54166,0.81898,1.72807,1.0412,0,0.85209,0.8632,0.89019,0.7456,0.85143,0.86244,0.88852,0.72981,0.45525,0.6633,1.37639,0.9671,0,5.575e-05,5.575e-05,5.575e-05
48,6680.06,0.53395,0.80156,1.69726,1.02443,0,0.87869,0.84078,0.8917,0.74686,0.87731,0.83944,0.88866,0.73331,0.45383,0.66124,1.36807,0.96715,0,4.3375e-05,4.3375e-05,4.3375e-05
49,6807.14,0.53037,0.81246,1.68685,1.02324,0,0.85531,0.86302,0.89052,0.75168,0.8603,0.85531,0.88878,0.73399,0.44438,0.65718,1.35829,0.96221,0,3.1e-05,3.1e-05,3.1e-05
50,6933.45,0.52253,0.80743,1.68066,1.02836,0,0.85961,0.86814,0.89228,0.75627,0.85511,0.86428,0.88864,0.73541,0.44248,0.65933,1.34317,0.96144,0,1.8625e-05,1.8625e-05,1.8625e-05
