epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
54,3660.87,0.57391,1.48021,0.57315,0.96307,0,0.73346,0.49813,0.49473,0.35649,0.71652,0.49833,0.48812,0.29284,0.56544,1.22951,0.45377,0.95322,0,0.000297063,0.000297063,0.000297063
55,3726.63,0.57454,1.46987,0.56846,0.96638,0,0.71578,0.5091,0.50528,0.36514,0.71404,0.50702,0.49536,0.30246,0.55418,1.22581,0.45818,0.94895,0,0.000290875,0.000290875,0.000290875
56,3791.46,0.58138,1.49698,0.56778,0.9708,0,0.7236,0.52948,0.50571,0.36862,0.72719,0.53017,0.51162,0.30507,0.55841,1.22033,0.42398,0.94976,0,0.000284688,0.000284688,0.000284688
57,3855.88,0.57702,1.4612,0.56754,0.96388,0,0.73941,0.53627,0.51709,0.37023,0.74252,0.53812,0.51585,0.309,0.54891,1.19836,0.43317,0.94971,0,0.0002785,0.0002785,0.0002785
58,3919.62,0.56495,1.41428,0.55371,0.95938,0,0.72817,0.52492,0.53838,0.3886,0.72014,0.52575,0.53185,0.3224,0.56561,1.2184,0.4442,0.95035,0,0.000272313,0.000272313,0.000272313
59,3985.07,0.56988,1.45254,0.55618,0.96485,0,0.68135,0.55775,0.50995,0.36867,0.67866,0.56007,0.50379,0.30793,0.56834,1.19572,0.44224,0.94955,0,0.000266125,0.000266125,0.000266125
60,4051.09,0.56936,1.4378,0.55133,0.96448,0,0.73769,0.56077,0.5174,0.37278,0.73106,0.55382,0.50864,0.31025,0.56049,1.18608,0.43383,0.95541,0,0.000259938,0.000259938,0.000259938
61,4116.46,0.56483,1.40833,0.53062,0.96543,0,0.67444,0.47695,0.50422,0.36286,0.67561,0.4762,0.49466,0.29915,0.55288,1.21667,0.47769,0.95141,0,0.00025375,0.00025375,0.00025375
62,4183.13,0.56464,1.44548,0.55145,0.9683,0,0.73575,0.52425,0.54723,0.39689,0.7316,0.52682,0.5427,0.33146,0.54997,1.17076,0.41969,0.95098,0,0.000247563,0.000247563,0.000247563
63,4249.62,0.57492,1.44545,0.55336,0.95794,0,0.73208,0.55175,0.52823,0.37694,0.72902,0.55672,0.52323,0.31992,0.55498,1.16802,0.42667,0.9515,0,0.000241375,0.000241375,0.000241375
